stn_code,stn_delay_all,stn_delay_nowinter,stn_traff
GMA,25.3660886213,24.2401416414,9
GDV,11.3927811965,9.99720753115,70
GYM,11.7088739684,11.8243271007,25
GVL,10.5915795066,8.57353451083,24
GDM,10.8074976901,9.67020942852,16
GDP,15.1237722729,14.0292033253,8
GDR,37.4602358346,29.7831502391,188
GJD,40.5118328055,35.1084371926,12
GLG,35.3867011741,31.9556137149,14
GBP,5.06860793964,4.73766945683,4
GLH,30.0624886779,28.8620164473,10
GPU,1.37952707685,1.28758725125,4
GR,20.2613836836,18.2323120417,79
GUH,56.8782877676,55.0552421571,19
GED,9.91997338967,9.88854710321,12
GGD,21.7745785464,15.2948260775,16
GLU,47.2403809168,45.7304580596,8
GZH,84.1464298923,77.4169673326,37
GMDA,27.5621318427,27.7969207849,10
GMAN,34.7563391551,32.855518337,20
GMIA,81.7169517647,73.9241047205,14
GMM,10.5768241723,9.47623966942,2
GPD,10.6593938343,8.41896465807,96
GTF,65.745412684,83.4642128701,10
GMTO,3.15,3.65008479367,2
GUNA,43.600518445,29.9257926808,64
GKM,23.9524653074,26.2219637481,10
GDZ,0.019801980198,0.0277777777778,14
GUU,43.4010017361,36.2476679348,11
GVB,14.38318139,12.2399393053,14
GTL,23.0230283596,18.3968720984,124
GNT,20.3219520277,20.1803633099,104
GPAE,3.80890529834,3.34813015688,44
GRMT,6.8208496732,6.44169998484,3
GMD,106.181233143,95.9596678573,8
GRRU,87.7195424682,70.8205009652,28
GSP,58.9589171869,48.0320375519,24
GGN,39.5482517108,31.5420713055,94
GUX,13.5177885312,10.0917655606,8
GRI,10.8288742354,11.3986300526,4
GQL,14.8671118714,12.6379113301,12
GRN,21.0080666193,16.5055367415,14
GAP,52.9053999538,45.3281055915,8
GRO,106.181233143,95.9596678573,8
GHJ,68.113714956,61.6274708749,16
GSW,6.45872268431,7.7923719581,6
GHS,13.3519355819,11.4125356281,12
GUV,7.56464933369,7.38696142704,14
GKH,20.9789445104,18.8107361579,40
GHY,103.969672737,78.0705012924,132
GWL,79.4113772112,56.8253410575,170
GYN,135.864253895,99.1005871016,50
NZM,48.1429368036,32.2510929277,267
HWX,21.692920682,18.7136752137,2
HBJ,58.5209623927,35.8159933179,128
HBW,107.112881236,126.607814625,6
HDP,34.3365184668,26.6859477506,16
HDD,9.91738567549,9.81174595928,8
HRM,2.33333333333,0.666666666667,4
HM,6.74266496648,2.90945734434,8
HYL,5.50770015701,5.5613549036,8
HFZ,4.82909221121,3.95205482963,124
HZR,30.0624886779,28.8620164473,10
HGI,9.91738567549,9.81174595928,8
HYT,122.492394117,103.072543235,34
HDN,90.6609585703,75.588314268,18
HGH,83.8538427214,79.0390521977,14
HJP,162.238785356,126.709171211,136
HKP,68.9827906043,73.3148043602,14
HLKT,18.3404754825,19.8119932183,3
HLDR,21.3448700606,21.1727744731,14
HLDD,32.0871030987,21.2247705646,6
HLZ,32.1163945572,25.6529810444,14
HDB,12.2646449271,12.0499626547,12
HIP,12.0004904054,11.6694962636,18
HDW,35.2336810145,26.0927222893,20
HLR,5.11062310651,4.61173407238,149
HVD,27.2534643122,27.8940633045,6
HMRR,48.4293896099,47.3261894449,8
HMR,48.9727833956,43.4920055705,12
HMG,3.96765258628,3.74651523323,8
HAR,62.4381640259,47.6413773703,8
HOJ,22.6700860127,8.27072401137,10
HVM,47.2403809168,45.7304580596,8
HNK,11.0745324668,11.1220581623,12
HDK,99.402172208,83.9630406694,13
HNS,16.3352337132,13.5613084214,18
HSWS,9.28571428571,0.0,2
HNMN,1.37952707685,1.28758725125,4
HMH,18.8211142774,12.7137276138,24
HMO,9.28571428571,0.0,2
HWT,7.77687447642,7.20982246157,16
HAPA,47.1286573478,24.7879868086,62
HPU,103.432552121,92.6145722916,86
HGL,25.8416535305,19.767390417,5
HKH,2.43181818182,1.62878787879,14
HRN,91.6292844818,92.331031449,28
HCP,91.6359190789,94.2355251731,29
HD,77.7908759325,44.6756409826,62
HDE,56.1918149513,49.069219418,8
HDT,78.6695944467,67.6309903189,10
HRI,122.822583069,105.904776258,82
HDU,11.3197694693,10.9440282099,10
HA,25.7533070273,26.2718187888,6
HCNR,29.3105242101,27.8555713475,8
HW,53.7274303671,39.8109515843,81
HRR,11.9804916738,11.4892015616,50
HIR,139.055066612,118.61088388,28
HAD,35.6350204196,31.1769103421,32
HP,11.2317298793,10.9395928827,10
HCR,22.9534878905,21.3021548574,31
HSK,51.4120390789,47.7325131222,16
HKL,9.5860405499,6.96490873308,6
HMY,42.5009719186,28.7087454278,14
HRT,94.8617132514,77.2341986319,16
HRPG,124.13839913,112.365579072,8
HPP,133.271457076,103.403036391,25
HRV,6.60719821502,5.97013019942,22
HRW,63.285179832,64.2902598364,4
HRB,13.3437455695,13.5234618577,10
HSI,33.4899883021,32.3760602677,10
HRH,107.112881236,126.607814625,6
HAA,28.0810683682,24.7280055163,4
HSP,87.7335083484,83.0498670922,10
HPO,51.209784873,43.2797039585,18
HSA,33.4948043584,22.0822575307,20
HAS,12.1064801135,10.7153863243,26
HAQ,14.7338940425,14.7282363634,4
HN,25.1169065168,20.9797341735,20
HTZ,95.083036707,70.5818112318,58
HTZU,83.5691315009,74.3959932842,16
HTC,43.611262814,30.146542356,30
HRS,162.336489402,137.501493488,43
HTJ,21.8538552725,18.4017413317,10
HAT,11.4455728598,10.8795203376,14
HTE,53.4421431015,47.304400604,46
HTL,42.532996633,50.4227238666,2
HTK,10.0539458799,9.7871616495,25
HPLE,70.5773998566,58.3741653826,2
HVR,12.5507932591,12.1765627605,46
HZD,80.9138787,61.8514105886,33
HBLN,16.3726725511,14.3137729391,6
HEB,10.3660977229,9.70053209484,6
HBS,12.2925008067,12.2759713795,6
HJL,10.5366247318,7.73551059923,13
HML,0.696534034034,0.784438502674,10
HGR,25.8337116852,20.927478489,8
HER,16.3842541286,7.06620966181,4
HIJ,42.2153762268,35.1591445278,43
HLX,42.532996633,50.4227238666,2
HIL,105.703924922,90.570518815,10
HEM,10.3774895246,9.51745300488,16
HMI,22.4538685914,18.3517412679,12
HNM,23.2961258151,26.535282014,2
HAN,54.9467673526,37.3526410023,43
HUP,31.1914157903,24.1038415118,63
HGT,102.443166895,81.1919982114,39
HNL,27.9735218362,22.7711573735,32
HRNR,80.1058639395,64.7714529808,18
HKG,28.4398256843,25.1749239985,17
HRG,58.540594478,57.4730747283,10
HQR,25.2138829381,25.1426068907,12
HDA,13.8541367181,13.1507214621,15
HSR,23.067778527,19.4864397522,50
HDL,51.7741342106,43.7589867752,18
HJI,101.639473679,70.204591424,44
HOL,18.9142484525,18.8093409184,5
HLK,4.4036245815,3.86700047836,13
HUK,12.1515213443,9.87078703064,23
HLAR,10.0793075184,10.2105075141,14
HLN,7.3449042488,6.7486899128,22
HBL,10.5813494031,10.4025258624,8
HNA,23.1173657764,22.0639211012,16
HYG,7.21164538909,6.63957482788,46
HSD,5.47997505972,4.95560460488,15
HBD,62.8735392163,45.4640323832,53
HSX,28.5395603909,27.8566988618,20
HPT,20.6082756743,20.0755149544,32
HSRA,17.6110519663,15.8943035567,30
HG,19.9490363365,18.8300297262,29
HWH,23.4857468207,18.323138021,758
UBL,15.8035488844,14.1341340055,110
LKT,14.9152439524,14.7146801067,10
HHD,35.4751757913,35.8886501676,7
HPG,6.79103038013,7.21282768713,100
HYB,10.8596404454,8.25610619534,113
IB,25.8337116852,20.927478489,8
IMR,11.7659658788,10.6672413793,5
ICL,78.3003865718,59.7334287299,6
IPM,19.5497678377,17.7770377254,33
IP,6.65944421373,5.65393968947,187
IPL,13.9101651166,13.9341304151,24
IDH,100.719581052,78.6622515323,38
IGP,47.8044292117,35.1463427469,110
IKK,50.5320275239,52.1963218532,9
IKR,58.540594478,57.4730747283,10
INP,78.7574613871,78.1325667612,4
IAA,66.6863904121,55.3223040939,42
IDG,56.2438255952,39.5898620639,40
IDR,18.6901601685,17.3137206297,23
INDB,29.0434155218,24.1076588939,95
IBL,5.31942347451,4.99729702494,24
INJ,22.4247938781,19.5316333072,6
INK,41.6872557559,34.2801270359,10
IPPM,37.0744025101,33.1848131934,12
IQG,17.2639325372,17.2884138941,6
IQB,75.6280866203,88.6699198333,10
IRP,9.49340439725,9.76136524105,8
IJK,35.4299675918,30.5930866353,46
IGU,8.33655657268,8.53670845772,12
EN,14.9478368547,15.8781424581,2
